PROVINCE,DISTRICT,DISTRICT_N,DATE,CATEGORY,LATITUDE,LONGITUDE,RADIUS,TWITTER
KZN,DC25,Amajuba,2019-06-25,C,-27.767377727955942,30.11147045909746,57.93902467325598,"-27.767378,30.111470,57.939025km"
KZN,DC26,Zululand,2019-06-25,C,-27.699031301769548,31.21902358428706,84.22795758428738,"-27.699031,31.219024,84.227958km"
KZN,DC27,Umkhanyakude,2019-06-25,C,-27.652717500628764,32.34302244529783,97.1009661630888,"-27.652718,32.343022,97.100966km"
KZN,DC28,King Cetshwayo,2019-06-25,C,-28.592896501541734,31.51763394480771,88.3260411908549,"-28.592897,31.517634,88.326041km"
KZN,DC29,iLembe,2019-06-25,C,-29.310841502410845,31.189466944008185,53.244490497916715,"-29.310842,31.189467,53.244490km"
KZN,DC43,Harry Gwala,2019-06-25,C,-30.124227836799363,29.70271891352552,71.54013558692692,"-30.124228,29.702719,71.540136km"
KZN,ETH,eThekwini,2019-06-25,A,-29.87590006015582,30.931597467463096,41.39114923233795,"-29.875900,30.931597,41.391149km"
LIM,DC33,Mopani,2019-06-25,C,-23.920683235208955,30.870143333815527,103.24027914886588,"-23.920683,30.870143,103.240279km"
LIM,DC34,Vhembe,2019-06-25,C,-22.82962879931892,30.24149062224953,141.18907640364355,"-22.829629,30.241491,141.189076km"
LIM,DC35,Capricorn,2019-06-25,C,-23.516819453925603,29.25119627111808,137.9445780006083,"-23.516819,29.251196,137.944578km"
LIM,DC36,Waterberg,2019-06-25,C,-24.331616450163402,27.89551393969724,155.4058994562856,"-24.331616,27.895514,155.405899km"
LIM,DC47,Sekhukhune,2019-06-25,C,-24.722152899619378,29.82909339378689,97.57676052099197,"-24.722153,29.829093,97.576761km"
MP,DC30,Gert Sibande,2019-06-25,C,-26.739329938499626,29.797881190542373,154.9527770581056,"-26.739330,29.797881,154.952777km"
MP,DC31,Nkangala,2019-06-25,C,-25.543515763941766,29.49314660357919,118.34487983846054,"-25.543516,29.493147,118.344880km"
MP,DC32,Ehlanzeni,2019-06-25,C,-25.00305824103464,31.18034204286499,124.739067199732,"-25.003058,31.180342,124.739067km"
NC,DC45,John Taolo Gaetsewe,2019-06-25,C,-27.20897726124237,22.943623054929603,126.78310327260863,"-27.208977,22.943623,126.783103km"
NC,DC6,Namakwa,2019-06-25,C,-30.3684199926518,19.273159941575756,319.53292932881675,"-30.368420,19.273160,319.532929km"
NC,DC7,Pixley ka Seme,2019-06-25,C,-30.52687388887129,23.314277313721323,215.56464869207076,"-30.526874,23.314277,215.564649km"
NC,DC8,Z F Mgcawu,2019-06-25,C,-27.370762234307414,21.1800785154494,282.42983980489294,"-27.370762,21.180079,282.429840km"
NC,DC9,Frances Baard,2019-06-25,C,-28.23216238615453,24.368602333690642,84.55470564742848,"-28.232162,24.368602,84.554706km"
NW,DC37,Bojanala,2019-06-25,C,-25.27365969169024,27.32078320480441,98.48797679819921,"-25.273660,27.320783,98.487977km"
NW,DC38,Ngaka Modiri Molema,2019-06-25,C,-25.71072453150589,25.727262491453683,126.7041595387536,"-25.710725,25.727262,126.704160km"
NW,DC39,Dr Ruth Segomotsi Mompati,2019-06-25,C,-26.527920006988293,24.338479996309097,180.8193912031707,"-26.527920,24.338480,180.819391km"
NW,DC40,Dr Kenneth Kaunda,2019-06-25,C,-26.82507999858094,26.55772000110707,106.39626867271024,"-26.825080,26.557720,106.396269km"
WC,CPT,City of Cape Town,2019-06-25,A,-33.91242918496526,18.58850300612693,42.520552967455814,"-33.912429,18.588503,42.520553km"
WC,DC1,West Coast,2019-06-25,C,-32.05864499848255,18.653424982592362,153.65563808052354,"-32.058645,18.653425,153.655638km"
WC,DC2,Cape Winelands,2019-06-25,C,-33.17884152631755,19.55801812780659,109.232971818823,"-33.178842,19.558018,109.232972km"
WC,DC3,Overberg,2019-06-25,C,-34.052994998391696,19.91003498794532,104.98198898680455,"-34.052995,19.910035,104.981989km"
WC,DC4,Garden Route,2019-06-25,C,-33.823298068328356,22.09806305398713,148.33202397714663,"-33.823298,22.098063,148.332024km"
WC,DC5,Central Karoo,2019-06-25,C,-32.59653999784164,22.196434996260464,200.10237696415217,"-32.596540,22.196435,200.102377km"
